sourceId,source_village,source_province,source_departament,source_latitude,source_longitude,source_altitude,destination_id,destination_village,destination_province,destination_departament,destination_latitud,destination_longitud,destination_altitud,distance
1,La Jalca,La Jalca,Amazonas,-6.41680833,-77.8225667,89,2,Caclic,Huancas,Amazonas,-6.39911833,-77.8176867,-65,4
3,El Tapial,Huancas,Amazonas,-6.48206998,-77.80898,-65,4,Asuncion,Goncha,Amazonas,-6.48700167,-77.80652,769,2
1,La Jalca,La Jalca,Amazonas,-6.41680833,-77.8225667,89,4,Asuncion,Goncha,Amazonas,-6.48700167,-77.80652,769,15
3,El Tapial,Huancas,Amazonas,-6.48206998,-77.80898,-65,2,Caclic,Huancas,Amazonas,-6.39911833,-77.8176867,-65,17
4,Asuncion,Goncha,Amazonas,-6.48700167,-77.80652,769,2,Caclic,Huancas,Amazonas,-6.39911833,-77.8176867,-65,18
5,Vista Hermosa,Goncha,Amazonas,-6.49757,-77.834135,769,4,Asuncion,Goncha,Amazonas,-6.48700167,-77.80652,769,5
6,Chorro,Goncha,Amazonas,-6.49898167,-77.8424267,588,5,Vista Hermosa,Goncha,Amazonas,-6.49757,-77.834135,769,3
5,Vista Hermosa,Goncha,Amazonas,-6.49757,-77.834135,769,3,El Tapial,Huancas,Amazonas,-6.48206998,-77.80898,-65,9
7,Rachil,Goncha,Amazonas,-6.478825,-77.86022,588,6,Chorro,Goncha,Amazonas,-6.49898167,-77.8424267,588,8
7,Rachil,Goncha,Amazonas,-6.478825,-77.86022,588,4,Asuncion,Goncha,Amazonas,-6.48700167,-77.80652,769,15
8,Batan,Goncha,Amazonas,-6.49628833,-77.85324,588,7,Rachil,Goncha,Amazonas,-6.478825,-77.86022,588,5.5
8,Batan,Goncha,Amazonas,-6.49628833,-77.85324,588,6,Chorro,Goncha,Amazonas,-6.49898167,-77.8424267,588,4
9,Pollan,Goncha,Amazonas,-6.51298167,-77.84776,735,6,Chorro,Goncha,Amazonas,-6.49898167,-77.8424267,588,4
9,Pollan,Goncha,Amazonas,-6.51298167,-77.84776,735,5,Vista Hermosa,Goncha,Amazonas,-6.49757,-77.834135,769,5
9,Pollan,Goncha,Amazonas,-6.51298167,-77.84776,735,8,Batan,Goncha,Amazonas,-6.49628833,-77.85324,588,7
86,Jichuyo Pamaya,Jichuyo Pamaya,Puno,-15.93008186,-70.03234402,643,88,Erpocco,Huallatani Millutayani anexos,Puno,-15.95908782,-70.15196229,177,10
86,Jichuyo Pamaya,Jichuyo Pamaya,Puno,-15.9300819,-70.032344,643,85,Huallatani,Huallatani Millutayani anexos,Puno,-15.97794724,-70.19499399,643,15
89,Patipiña,Huallatani Millutayani anexos,Puno,-15.97534782,-70.15906229,210,85,Huallatani,Huallatani Millutayani anexos,Puno,-15.97794724,-70.19499399,643,5
89,Patipiña,Huallatani Millutayani anexos,Puno,-15.97534782,-70.15906229,210,88,Erpocco,Huallatani Millutayani anexos,Puno,-15.95908782,-70.15196229,177,3
90,Millotayane,Huallatani Millutayani anexos,Puno,-15.92244606,-70.12583145,365,85,Huallatani,Huallatani Millutayani anexos,Puno,-15.97794724,-70.19499399,643,11
